TICKET ID ; IV ; OV ; FV ; AV 
BOOKKEEPER-1;1;1;1;[]
BOOKKEEPER-5;1;1;1;[]
BOOKKEEPER-18;1;1;1;[]
BOOKKEEPER-19;1;1;1;[]
BOOKKEEPER-22;1;1;1;[]
BOOKKEEPER-27;1;1;1;[]
BOOKKEEPER-28;1;1;1;[]
BOOKKEEPER-29;1;1;1;[]
BOOKKEEPER-38;1;1;1;[]
BOOKKEEPER-39;1;1;1;[]
BOOKKEEPER-40;1;1;2;[1]
BOOKKEEPER-43;1;1;1;[]
BOOKKEEPER-50;1;1;1;[]
BOOKKEEPER-51;1;1;1;[]
BOOKKEEPER-52;1;1;1;[]
BOOKKEEPER-53;1;1;1;[]
BOOKKEEPER-55;1;1;3;[1, 2]
BOOKKEEPER-56;1;1;2;[1]
BOOKKEEPER-57;1;1;1;[]
BOOKKEEPER-58;1;1;1;[]
BOOKKEEPER-59;1;1;1;[]
BOOKKEEPER-61;1;1;1;[]
BOOKKEEPER-62;1;1;1;[]
BOOKKEEPER-63;1;1;1;[]
BOOKKEEPER-65;1;1;1;[]
BOOKKEEPER-66;1;1;1;[]
BOOKKEEPER-68;1;1;1;[]
BOOKKEEPER-69;1;1;1;[]
BOOKKEEPER-71;1;1;1;[]
BOOKKEEPER-72;1;1;2;[1]
BOOKKEEPER-74;1;1;2;[1]
BOOKKEEPER-79;1;1;1;[]
BOOKKEEPER-80;1;1;1;[]
BOOKKEEPER-81;1;1;1;[]
BOOKKEEPER-86;1;1;1;[]
BOOKKEEPER-87;1;1;1;[]
BOOKKEEPER-88;1;1;1;[]
BOOKKEEPER-92;1;1;1;[]
BOOKKEEPER-93;1;1;1;[]
BOOKKEEPER-94;1;1;1;[]
BOOKKEEPER-100;1;1;1;[]
BOOKKEEPER-106;1;1;1;[]
BOOKKEEPER-107;1;1;1;[]
BOOKKEEPER-112;1;1;2;[1]
BOOKKEEPER-113;1;1;2;[1]
BOOKKEEPER-115;1;1;1;[]
BOOKKEEPER-118;1;1;1;[]
BOOKKEEPER-119;1;1;1;[]
BOOKKEEPER-124;1;1;1;[]
BOOKKEEPER-125;1;1;1;[]
BOOKKEEPER-127;1;1;1;[]
BOOKKEEPER-128;1;1;1;[]
BOOKKEEPER-129;1;1;1;[]
BOOKKEEPER-131;1;1;1;[]
BOOKKEEPER-133;1;1;2;[1]
BOOKKEEPER-134;1;1;1;[]
BOOKKEEPER-135;1;1;2;[1]
BOOKKEEPER-137;1;1;2;[1]
BOOKKEEPER-138;1;1;1;[]
BOOKKEEPER-139;1;1;1;[]
BOOKKEEPER-140;1;1;2;[1]
BOOKKEEPER-142;1;2;2;[1]
BOOKKEEPER-150;1;2;2;[1]
BOOKKEEPER-152;1;2;2;[1]
BOOKKEEPER-153;1;2;2;[1]
BOOKKEEPER-156;1;2;2;[1]
BOOKKEEPER-162;1;2;2;[1]
BOOKKEEPER-163;1;2;2;[1]
BOOKKEEPER-167;1;2;2;[1]
BOOKKEEPER-169;1;2;2;[1]
BOOKKEEPER-174;1;2;2;[1]
BOOKKEEPER-186;1;2;2;[1]
BOOKKEEPER-197;2;2;2;[]
BOOKKEEPER-209;2;2;2;[]
BOOKKEEPER-215;2;2;2;[]
BOOKKEEPER-216;2;2;2;[]
BOOKKEEPER-217;2;2;2;[]
BOOKKEEPER-229;2;2;2;[]
BOOKKEEPER-231;2;2;2;[]
BOOKKEEPER-232;2;2;2;[]
BOOKKEEPER-234;2;2;2;[]
BOOKKEEPER-242;1;2;2;[1]
BOOKKEEPER-263;2;2;2;[]
BOOKKEEPER-273;2;2;2;[]
BOOKKEEPER-274;1;2;2;[1]
BOOKKEEPER-279;1;2;2;[1]
BOOKKEEPER-280;2;2;3;[2]
BOOKKEEPER-285;2;2;2;[]
BOOKKEEPER-286;2;2;2;[]
BOOKKEEPER-291;2;2;3;[2]
BOOKKEEPER-292;2;2;3;[2]
BOOKKEEPER-294;2;3;3;[2]
BOOKKEEPER-296;1;3;3;[1, 2]
BOOKKEEPER-302;2;3;3;[2]
BOOKKEEPER-313;3;3;6;[3, 4, 5]
BOOKKEEPER-326;2;3;3;[2]
BOOKKEEPER-327;1;3;3;[1, 2]
BOOKKEEPER-329;1;3;3;[1, 2]
BOOKKEEPER-330;1;3;3;[1, 2]
BOOKKEEPER-336;2;3;3;[2]
BOOKKEEPER-337;1;3;3;[1, 2]
BOOKKEEPER-343;2;3;3;[2]
BOOKKEEPER-349;2;3;3;[2]
BOOKKEEPER-355;2;3;3;[2]
BOOKKEEPER-363;3;3;8;[3, 4, 5, 6, 7]
BOOKKEEPER-365;1;3;14;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
BOOKKEEPER-382;1;3;3;[1, 2]
BOOKKEEPER-383;2;3;3;[2]
BOOKKEEPER-387;2;3;3;[2]
BOOKKEEPER-396;2;3;3;[2]
BOOKKEEPER-408;2;3;3;[2]
